dia,uso_disco_gb
1,233.93
2,89.31
3,269.32
4,469.74
5,68.76
6,69.21
7,483.93
8,298.92
9,16.8
10,248.45
11,19.08
12,19.0
13,181.13
14,10.0
15,10.0
16,10.0
17,10.0
18,199.89
19,10.0
20,10.0
21,464.28
22,78.32
23,145.78
24,10.0
25,10.0
26,157.04
27,10.0
28,218.43
29,10.0
30,66.86
31,10.0
32,557.56
33,131.77
34,10.0
35,323.66
36,10.0
37,184.37
38,10.0
39,10.0
40,182.97
41,307.15
42,178.05
43,112.93
44,71.01
45,10.0
46,10.0
47,35.92
48,383.1
49,220.55
50,10.0
51,216.99
52,55.43
53,10.0
54,284.04
55,380.28
56,357.95
57,10.0
58,75.46
59,222.23
60,369.87
61,37.98
62,105.49
63,10.0
64,10.0
65,334.87
66,459.54
67,133.7
68,379.86
69,233.67
70,10.0
71,234.51
72,503.77
73,144.67
74,510.75
75,10.0
76,341.97
77,174.54
78,86.79
79,176.51
80,10.0
81,106.27
82,238.48
83,494.98
84,39.4
85,10.0
86,44.07
87,368.28
88,234.7
89,39.02
90,277.76
91,183.13
92,382.69
93,10.0
94,87.44
95,73.17
96,10.0
97,231.3
98,223.74
99,165.72
100,111.41
101,10.0
102,69.8
103,88.06
104,10.0
105,130.4
106,260.01
107,599.05
108,208.48
109,227.89
110,152.49
111,10.0
112,164.34
113,184.61
114,734.03
115,127.8
116,241.09
117,164.72
118,10.0
119,434.63
120,345.78
121,355.16
122,10.0
123,495.82
124,10.0
125,310.32
126,677.12
127,10.0
128,48.23
129,200.82
130,63.48
131,10.0
132,195.06
133,10.0
134,288.49
135,10.0
136,535.29
137,10.0
138,108.52
139,368.4
140,10.0
141,235.41
142,482.52
143,10.0
144,226.98
145,244.62
146,364.31
147,10.0
148,10.0
149,306.29
150,255.35
151,245.18
152,267.55
153,33.5
154,242.36
155,256.7
156,27.0
157,616.89
158,299.35
159,10.0
160,341.99
161,10.0
162,372.71
163,458.03
164,10.0
165,414.34
166,289.0
167,382.95
168,628.93
169,139.99
170,24.31
171,10.0
172,11.03
173,180.24
174,276.24
175,261.96
176,388.17
177,202.62
178,532.16
179,140.09
180,822.43
181,344.39
182,10.0
183,10.0
184,313.02
185,152.2
186,366.82
187,312.26
188,187.96
189,11.6
190,10.0
191,103.94
192,402.05
193,255.76
194,10.0
195,247.31
196,296.23
197,10.0
198,244.22
199,222.85
200,10.0
201,292.19
202,339.01
203,458.78
204,452.54
205,10.0
206,10.0
207,330.81
208,330.98
209,331.71
210,1094.67
211,345.37
212,474.82
213,433.79
214,365.11
215,144.73
216,390.59
217,41.1
218,164.0
219,107.67
220,237.7
221,748.24
222,10.0
223,377.13
224,10.0
225,113.44
226,470.47
227,236.83
228,10.0
229,59.64
230,378.76
231,57.1
232,273.85
233,235.26
234,76.44
235,715.54
236,371.02
237,10.0
238,269.7
239,76.36
240,422.74
241,47.4
242,202.69
243,344.72
244,427.58
245,10.0
246,154.28
247,122.65
248,82.35
249,635.37
250,325.02
251,10.0
252,443.09
253,718.66
254,470.17
255,10.0
256,124.58
257,525.08
258,74.43
259,337.94
260,413.97
261,25.69
262,224.3
263,10.0
264,10.0
265,181.55
266,10.0
267,613.08
268,10.0
269,140.52
270,271.37
271,571.21
272,10.0
273,508.58
274,245.64
275,19.52
276,349.77
277,290.13
278,107.98
279,261.5
280,157.97
281,272.38
282,398.17
283,609.68
284,10.0
285,735.55
286,10.0
287,214.47
288,384.0
289,314.24
290,108.24
291,203.4
292,138.77
293,117.21
294,446.39
295,334.31
296,94.9
297,459.17
298,324.3
299,440.25
300,398.84
301,66.06
302,127.93
303,427.07
304,396.24
305,252.47
306,284.5
307,550.04
308,123.45
309,384.04
310,213.31
311,210.22
312,511.42
313,449.42
314,447.15
315,559.99
316,267.0
317,418.44
318,192.22
319,337.61
320,234.27
321,286.61
322,400.87
323,78.43
324,743.81
325,36.42
326,10.0
327,531.72
328,448.46
329,410.63
330,412.05
331,266.15
332,64.42
333,287.17
334,115.6
335,493.52
336,237.6
337,83.06
338,198.68
339,366.89
340,144.22
341,85.61
342,329.57
343,330.31
344,158.99
345,167.64
346,328.71
347,10.0
348,10.0
349,112.92
350,228.74
351,348.98
352,615.45
353,474.78
354,242.76
355,275.41
356,51.17
357,276.42
358,215.16
359,355.28
360,93.02
361,401.1
362,633.06
